bug_id,user_id,task_id,created,finish_time,user_ip,link,timeout,project_id,id,answers
1323211,2,1698,2019-02-27T19:29:20.300427,2019-02-27T19:35:21.602962,None,<link rel='self' title='taskrun' href='http://localhost:8081/api/taskrun/248'/>,None,7,248,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1325902,2,1699,2019-02-27T19:31:44.804174,2019-02-27T19:37:13.560377,None,<link rel='self' title='taskrun' href='http://localhost:8081/api/taskrun/249'/>,None,7,249,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1328913,2,1700,2019-02-27T19:35:21.658604,2019-02-27T19:42:12.448331,None,<link rel='self' title='taskrun' href='http://localhost:8081/api/taskrun/250'/>,None,7,250,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1330745,2,1701,2019-02-27T19:37:13.598292,2019-02-27T19:43:35.006503,None,<link rel='self' title='taskrun' href='http://localhost:8081/api/taskrun/251'/>,None,7,251,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1334844,2,1702,2019-02-27T19:42:12.476057,2019-02-27T19:44:46.637842,None,<link rel='self' title='taskrun' href='http://localhost:8081/api/taskrun/252'/>,None,7,252,0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1335538,2,1703,2019-02-27T19:43:35.042343,2019-02-27T19:45:34.720819,None,<link rel='self' title='taskrun' href='http://localhost:8081/api/taskrun/253'/>,None,7,253,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1335992,2,1704,2019-03-01T14:19:44.650709,2019-03-01T14:21:41.565456,None,<link rel='self' title='taskrun' href='http://localhost:8081/api/taskrun/254'/>,None,7,254,0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1336227,2,1705,2019-03-01T14:19:44.784379,2019-03-01T14:22:17.260708,None,<link rel='self' title='taskrun' href='http://localhost:8081/api/taskrun/255'/>,None,7,255,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1337682,2,1706,2019-03-01T14:21:41.616912,2019-03-01T14:22:38.544244,None,<link rel='self' title='taskrun' href='http://localhost:8081/api/taskrun/256'/>,None,7,256,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1339497,2,1707,2019-03-01T14:22:17.297007,2019-03-01T14:23:06.719667,None,<link rel='self' title='taskrun' href='http://localhost:8081/api/taskrun/257'/>,None,7,257,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1343256,2,1708,2019-03-01T14:22:38.584156,2019-03-01T14:23:23.249083,None,<link rel='self' title='taskrun' href='http://localhost:8081/api/taskrun/258'/>,None,7,258,0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1344446,2,1709,2019-03-01T14:23:06.755498,2019-03-01T14:23:59.455997,None,<link rel='self' title='taskrun' href='http://localhost:8081/api/taskrun/259'/>,None,7,259,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
1345687,2,1710,2019-03-01T14:23:23.280168,2019-03-01T14:24:18.819370,None,<link rel='self' title='taskrun' href='http://localhost:8081/api/taskrun/260'/>,None,7,260,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1352539,2,1711,2019-03-01T14:23:59.484895,2019-03-01T14:24:59.800991,None,<link rel='self' title='taskrun' href='http://localhost:8081/api/taskrun/261'/>,None,7,261,1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1353831,2,1712,2019-03-01T14:24:18.854685,2019-03-01T14:26:28.483974,None,<link rel='self' title='taskrun' href='http://localhost:8081/api/taskrun/262'/>,None,7,262,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1357085,2,1713,2019-03-01T14:24:59.837931,2019-03-01T14:26:57.348604,None,<link rel='self' title='taskrun' href='http://localhost:8081/api/taskrun/263'/>,None,7,263,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1357458,2,1714,2019-03-01T14:26:28.550149,2019-03-01T14:27:22.093686,None,<link rel='self' title='taskrun' href='http://localhost:8081/api/taskrun/264'/>,None,7,264,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1365887,2,1715,2019-03-01T14:26:57.388879,2019-03-01T14:28:01.657511,None,<link rel='self' title='taskrun' href='http://localhost:8081/api/taskrun/265'/>,None,7,265,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1408361,2,1716,2019-03-01T14:27:22.126032,2019-03-01T14:28:35.006317,None,<link rel='self' title='taskrun' href='http://localhost:8081/api/taskrun/266'/>,None,7,266,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1430603,2,1717,2019-03-01T14:28:01.700868,2019-03-01T14:29:19.235692,None,<link rel='self' title='taskrun' href='http://localhost:8081/api/taskrun/267'/>,None,7,267,0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
1432915,2,1718,2019-03-01T14:28:35.039210,2019-03-01T14:30:17.557741,None,<link rel='self' title='taskrun' href='http://localhost:8081/api/taskrun/268'/>,None,7,268,0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1449700,2,1719,2019-03-01T14:29:19.266265,2019-03-01T14:30:45.585992,None,<link rel='self' title='taskrun' href='http://localhost:8081/api/taskrun/269'/>,None,7,269,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1451475,2,1720,2019-03-01T14:30:17.588426,2019-03-01T14:30:52.842149,None,<link rel='self' title='taskrun' href='http://localhost:8081/api/taskrun/270'/>,None,7,270,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
