Bug_Number|Status|Product|Priority|Resolution|Severity|Is_Confirmed
149544|NEW|Firefox|--||enhancement|True
150353|NEW|Firefox|--||normal|True
151850|NEW|Firefox|--||minor|True
152188|NEW|Firefox|--||enhancement|True
152289|ASSIGNED|Firefox|--||enhancement|True
152392|NEW|Firefox|--||normal|True
153326|NEW|Firefox|--||enhancement|True
153521|NEW|Firefox|--||major|True
154057|NEW|Firefox|--||normal|True
155730|NEW|Firefox|--||normal|True
157422|NEW|Firefox|--||enhancement|True
157541|NEW|Firefox|--||minor|True
158623|NEW|Firefox|--||normal|True
159057|NEW|Firefox|--||major|True
159241|NEW|Firefox|--||normal|True
161102|NEW|Firefox|--||enhancement|True
161361|NEW|Firefox|--||normal|True
162742|NEW|Firefox|--||normal|True
163142|NEW|Firefox|--||enhancement|True
163891|NEW|Firefox|P5||normal|True
164454|NEW|Firefox|--||major|True
166575|ASSIGNED|Firefox|--||normal|True
167486|REOPENED|Firefox|--||normal|True
167898|NEW|Firefox|--||normal|True
168909|NEW|Firefox|--||normal|True
169239|NEW|Firefox|P5||normal|True
170090|NEW|Firefox|--||normal|True
170131|NEW|Firefox|--||trivial|True
170303|NEW|Firefox|--||normal|True
171103|NEW|Firefox|--||enhancement|True
172290|NEW|Firefox|--||normal|True
172334|NEW|Firefox|--||enhancement|True
172903|VERIFIED|Firefox|--|FIXED|blocker|True
173106|NEW|Firefox|--||minor|True
173988|VERIFIED|Firefox|--|WONTFIX|enhancement|False
174957|VERIFIED|Firefox|--|WONTFIX|minor|True
175008|REOPENED|Firefox|P5||enhancement|True
175925|REOPENED|Firefox|--||minor|True
176943|NEW|Firefox|--||critical|True
180523|NEW|Firefox|--||enhancement|True
186397|NEW|Firefox|--||enhancement|True
187292|NEW|Firefox|--||normal|True
189035|NEW|Firefox|--||normal|True
189037|NEW|Firefox|--||trivial|True
189108|NEW|Firefox|--||normal|True
189601|NEW|Firefox|--||normal|True
190964|NEW|Firefox|--||normal|True
190965|NEW|Firefox|--||normal|True
190966|NEW|Firefox|--||normal|True
191000|NEW|Firefox|--||enhancement|True
191239|NEW|Firefox|--||normal|True
192206|NEW|Firefox|--||trivial|True
192286|NEW|Firefox|--||normal|True
193346|NEW|Firefox|--||normal|True
194683|NEW|Firefox|--||minor|True
195081|NEW|Firefox|--||enhancement|True
196005|NEW|Firefox|--||major|True
196078|NEW|Firefox|--||normal|True
196509|VERIFIED|Firefox|P4|INCOMPLETE|enhancement|True
198061|NEW|Firefox|--||minor|True
198065|NEW|Firefox|--||enhancement|True
198076|REOPENED|Firefox|--||critical|True
199225|NEW|Firefox|P5||normal|True
200289|NEW|Firefox|--||normal|True
201262|NEW|Firefox|--||critical|True
201692|NEW|Firefox|--||normal|True
201709|VERIFIED|Firefox|--|DUPLICATE|enhancement|False
201742|NEW|Firefox|--||enhancement|True
201901|RESOLVED|Firefox|--|WORKSFORME|normal|True
204267|NEW|Firefox|--||normal|True
204402|NEW|Firefox|P5||normal|True
204621|NEW|Firefox|--||normal|True
204744|NEW|Firefox|--||major|True
205011|VERIFIED|Firefox|P2|DUPLICATE|enhancement|True
206823|VERIFIED|Firefox|--|WONTFIX|normal|True
207302|NEW|Firefox|--||normal|True
207479|VERIFIED|Firefox|--|DUPLICATE|critical|False
208567|NEW|Firefox|--||normal|True
208817|NEW|Firefox|--||minor|True
209179|RESOLVED|Firefox|--|WONTFIX|enhancement|True
209819|NEW|Firefox|--||normal|True
212163|VERIFIED|Firefox|--|WONTFIX|normal|False
213104|VERIFIED|Firefox|--|WONTFIX|enhancement|False
213467|NEW|Firefox|P5||enhancement|True
213496|NEW|Firefox|--||minor|True
213693|NEW|Firefox|--||enhancement|True
213875|NEW|Firefox|--||normal|True
